ASIN,SKU,review_count,mean_score
B09KXVBD7Z,SET389-KR-NP-S,,
B09K3WFS32,JNE3781-KR-XXXL,,
B07WV4JV4D,JNE3371-KR-XL,,
B099NRCT7B,J0341-DR-L,,
B098714BZP,JNE3671-TU-XXXL,,
B08YN7XDSG,SET264-KR-NP-XL,,
B08CMHNWBN,J0095-SET-L,,
B081WX4G4Q,JNE3405-KR-S,,
B08L91ZZXN,SET200-KR-NP-A-XXXL,,
B08B3XF5MH,JNE3461-KR-XXL,,
B07K3YQLF1,JNE3160-KR-G-S,,
B098117DJ3,JNE3500-KR-XS,,
B081XCMYXJ,JNE3405-KR-XS,,
B085HS947T,SET182-KR-DH-XS,,
B09CSSQY4F,J0351-SET-L,,
B09PY99SVJ,PJNE3368-KR-6XL,,
B099FCT65D,JNE3721-KR-XXL,,
B081WT6GG7,JNE3405-KR-XL,,
B098133PV5,JNE3697-KR-XXL,,
B0983DDPL6,SET254-KR-NP-XS,,
B09HMXJVFS,JNE3795-KR-XXXL,,
B09KXV4BN8,SET345-KR-NP-M,,
B082W7GVH7,JNE3373-KR-L,,
B099NK55YG,SET291-KR-PP-M,,
B08YYYDN9R,MEN5002-KR-L,,
B09G2RQSRZ,NW030-TP-PJ-XS,,
B082W8JXJ9,JNE3415-KR-XXXL,,
B09LD2W9XL,PJNE2199-KR-N-4XL,,
B08KRXV1QR,JNE3567-KR-M,,
B07JG3CND8,JNE2132-KR-398-XXXL,,
B099NR7612,J0341-DR-S,,
B08YYTCPYX,MEN5009-KR-XL,,
B08B3YNJG5,J0011-LCD-M,,
B09K3XR43V,JNE3766-KR-M,,
B082W8BXW1,JNE3373-KR-XL,,
B08YYRH2Q6,MEN5001-KR-XL,,
B09KXT4VG7,SET345-KR-NP-L,,
B09RKBXM5B,JNE3787-KR-S,,
B08HHJP41L,JNE3543-KR-S,,
B081WSCKPQ,JNE3405-KR-L,,
B09831VWD9,J0211-DR-XXL,,
B09SDXZBGX,J0401-DR-XXXL,,
B0794YR85H,JNE2153-KR-278-A-M,,
B09QJM1D7F,SET360-KR-NP-M,,
B08XQ8MCKP,SET268-KR-NP-L,,
B08B3Z38TJ,SET183-KR-DH-S,,
B08XNDL1DL,J0230-SKD-L,,
B0986ZHR9D,JNE3744-TU-S,,
B08WPTJBBD,JNE3510-KR-S,,
B081WVMMCY,JNE3405-KR-M,,
B091Z81MLX,J0186-SET-S,,
B0894XH3LN,J0003-SET-M,,
B09CTCDDQ4,SET282-KR-PP-M,,
B01M4IAS51,JNE1407-BLACK-KR-UDF18-XL,,
B099S6795L,J0301-TP-L,,
B09RK67Y51,JNE3869-DR-S,,
B09NQ4DD29,SET324-KR-NP-XS,,
B09CT6L67S,SET279-LC-S,,
B077MF72BK,JNE2014-KR-178-XXL,,
B0922WJ27J,NW005-ST-PJ-XL,,
B07H7FZD32,JNE2270-KR-487-A-M,,
B08QGK2BS2,JNE3579-KR-M,,
B09RKFBMYD,SET347-KR-NP-XS,,
B08YN44FZJ,SET264-KR-NP-M,,
B082W8RWN1,JNE3373-KR-XXL,,
B09RKDZ461,SET333-KR-DPT-XXL,,
B08ZHNGS54,JNE3645-TP-N-L,,
B08MXF6MZF,SET233-KR-PP-L,,
B09M6VGNX8,J0381-SKD-XXXL,,
B07H7F97S4,JNE3068-KR-A-XL,,
B099FB63Q6,JNE3718-KR-M,,
B09K3YFPSS,SET386-KR-NP-S,,
B09K3WDYB6,JNE3745-KR-XXL,,
B08CDQKS84,JNE3467-KR-XL,,
