store,count,mean,std,min,25%,50%,75%,max
Ajio MRP,2586.0,2241.26407579273,707.7708164744145,199.0,1795.0,2095.0,2495.0,5997.0
Amazon FBA MRP,2586.0,2247.789211136891,703.9377924434591,199.0,1795.0,2097.0,2495.0,5997.0
Amazon MRP,2586.0,2247.789211136891,703.9377924434591,199.0,1795.0,2097.0,2495.0,5997.0
Final MRP Old,2586.0,2235.176682134571,706.0002054725245,199.0,1795.0,2095.0,2495.0,5997.0
Flipkart MRP,2586.0,2243.12022428461,705.1717315365987,199.0,1795.0,2097.0,2495.0,5997.0
Limeroad MRP,2586.0,2242.974825986079,700.9801970250965,199.0,1795.0,2095.0,2495.0,5997.0
MRP Old,2586.0,2207.972505800464,701.258117065711,199.0,1778.0,2038.0,2378.0,5997.0
Myntra MRP,2598.0,2232.5192070823714,693.0270655407564,199.0,1795.0,2097.0,2495.0,5997.0
Paytm MRP,2586.0,2238.4891337973704,702.6836643517979,199.0,1795.0,2095.0,2495.0,5997.0
Snapdeal MRP,2586.0,2239.72656612529,702.8811963302924,199.0,1795.0,2095.0,2495.0,5997.0
