region,revenue
MAHARASHTRA,13335534.14
KARNATAKA,10481114.37
TELANGANA,6916615.65
UTTAR PRADESH,6816642.08
TAMIL NADU,6515650.11
DELHI,4235215.97
KERALA,3830227.58
WEST BENGAL,3507880.44
ANDHRA PRADESH,3219831.72
HARYANA,2882092.99
Gujarat,2728651.82
RAJASTHAN,1716802.4
MADHYA PRADESH,1592382.98
BIHAR,1394388.32
ODISHA,1372205.63
PUNJAB,1180064.84
ASSAM,1018136.2
UTTARAKHAND,974143.55
JHARKHAND,919088.21
GOA,619437.85
CHHATTISGARH,570485.83
HIMACHAL PRADESH,503364.51
JAMMU & KASHMIR,456932.74
MANIPUR,211350.99
CHANDIGARH,202686.05
PUDUCHERRY,191476.24
ANDAMAN & NICOBAR ,158723.62
NAGALAND,143430.67
SIKKIM,138125.66
MEGHALAYA,118949.9
ARUNACHAL PRADESH,95235.0
Delhi,94642.87
TRIPURA,92548.4
New Delhi,47109.95
DADRA AND NAGAR,42138.92
MIZORAM,41213.71
LADAKH,38388.43
Rajasthan,37252.76
Punjab,22013.0
Bihar,19793.0
nan,18671.0
delhi,16553.62
Goa,15781.0
Odisha,12429.76
Chandigarh,9054.62
punjab,8622.0
rajasthan,3946.0
LAKSHADWEEP,3175.29
Sikkim,2703.0
Manipur,2631.0
goa,2467.0
Arunachal Pradesh,1935.0
bihar,1432.0
Orissa,1140.0
Rajshthan,1126.0
RJ,1040.0
NL,961.0
Meghalaya,921.9100000000001
Mizoram,735.0
Nagaland,664.0
Arunachal pradesh,602.0
orissa,597.0
Puducherry,568.0
Punjab/Mohali/Zirakpur,568.0
Pondicherry,529.0
rajsthan,521.0
AR,493.0
Rajsthan,443.0
PB,399.0
APO,0.0
