region,revenue_sum,revenue_mean,revenue_std,qty_mean,qty_std,n_orders
MAHARASHTRA,13335534.14,632.8256128695488,272.2455566936262,0.9132075471698113,0.2912625346759315,22260.0
KARNATAKA,10481114.37,639.3262394778577,272.8858356719085,0.9177536650121205,0.2882798636849125,17326.0
TELANGANA,6916615.65,650.2412005264642,278.80419034084525,0.9049426301853486,0.3077002203569228,11330.0
UTTAR PRADESH,6816642.08,685.2962782748567,297.14185377721435,0.8929310020680579,0.32492988683413593,10638.0
TAMIL NADU,6515650.109999999,602.7986039411601,263.9171377561004,0.906731690324828,0.31275359197954244,11483.0
DELHI,4235215.970000001,662.4770796183327,283.71894378346434,0.9076968445886169,0.29701812190765986,6782.0
KERALA,3830227.58,622.699980490977,251.88721898132496,0.8827638572513288,0.3319494175713306,6585.0
WEST BENGAL,3507880.4400000004,632.3923634396972,272.2263951527027,0.8918329699815529,0.3207129620577964,5963.0
ANDHRA PRADESH,3219831.72,636.9597863501484,289.8808758543825,0.8874769797421731,0.34179820779274844,5430.0
HARYANA,2882092.99,688.178841929322,296.9993716219717,0.920951302378256,0.2931833949343815,4415.0
Gujarat,2728651.8200000003,657.031500120395,270.1578616991374,0.9242593005123636,0.4222658096882641,4489.0
RAJASTHAN,1716802.4000000001,695.6249594813614,317.6198252495057,0.8932075471698113,0.31615478039661493,2650.0
MADHYA PRADESH,1592382.98,672.7431263202366,287.7457164314111,0.8936338473705022,0.3109216501384045,2529.0
BIHAR,1394388.32,720.6141188630492,312.2162125080654,0.8854266538830298,0.3304070378864731,2086.0
ODISHA,1372205.6300000001,694.7876607594937,309.2589717210576,0.8936170212765957,0.31895630840797334,2115.0
PUNJAB,1180064.8399999999,670.4913863636363,309.4493625338528,0.9090422685928304,0.31937538214778793,1869.0
ASSAM,1018136.2000000001,657.710723514212,284.11612189925137,0.8917618761274805,0.31270445797954444,1663.0
UTTARAKHAND,974143.55,674.1477854671281,295.0670931350811,0.8918222794591114,0.3148250034988456,1553.0
JHARKHAND,919088.21,679.7989718934911,292.3280565767381,0.8818681318681318,0.3354038635302363,1456.0
GOA,619437.8500000001,591.0666507633589,253.3134236141795,0.9274047186932849,0.2732260552898436,1102.0
CHHATTISGARH,570485.83,660.284525462963,282.87155430963674,0.9042904290429042,0.301744683273901,909.0
HIMACHAL PRADESH,503364.51,695.2548480662983,310.304705369844,0.8565989847715736,0.3507039304890485,788.0
JAMMU & KASHMIR,456932.74,704.0566101694915,305.60858782498275,0.8789173789173789,0.3393120025936372,702.0
MANIPUR,211350.99,714.0236148648648,302.9562158511039,0.9292604501607717,0.25680248405703016,311.0
CHANDIGARH,202686.05,660.2151465798045,280.9214430923927,0.9130434782608695,0.2822098895853303,322.0
PUDUCHERRY,191476.24,589.1576615384615,249.5619376646496,0.8825214899713467,0.3398080132772457,349.0
