SKU,total_revenue,total_qty
J0230-SKD-M,527699.2,468.0
JNE3797-KR-L,524581.77,661.0
J0230-SKD-S,479937.14,421.0
JNE3797-KR-M,454290.16,561.0
JNE3797-KR-S,407302.57,503.0
JNE3797-KR-XL,332155.24,415.0
J0230-SKD-L,305616.95,272.0
JNE3797-KR-XS,303616.7,386.0
SET268-KR-NP-XL,284058.96,373.0
JNE3797-KR-XXXL,276375.8,353.0
JNE3797-KR-XXL,275966.88,359.0
SET268-KR-NP-S,267030.48,350.0
J0230-SKD-XL,259032.58,221.0
SET268-KR-NP-L,258716.0,348.0
SET183-KR-DH-M,250171.98,289.0
J0341-DR-M,235151.42,268.0
J0230-SKD-XS,221741.86,197.0
J0341-DR-L,217865.04,257.0
J0341-DR-S,214934.45,244.0
SET278-KR-NP-M,201821.14,138.0
