SKU,total_revenue,orders,revenue_mean_per_order,revenue_std_per_order,qty_mean_per_order,qty_std_per_order
J0230-SKD-M,527699.2,472,1118.006779661017,244.33794906545725,0.9230769230769231,0.2811607785577666
JNE3797-KR-L,524581.77,722,726.5675484764544,111.21519722084805,0.8551099611901681,0.35587649159661067
J0230-SKD-S,479937.14,428,1121.3484579439253,182.05549849182242,0.9314159292035398,0.26998354965616694
JNE3797-KR-M,454290.16,621,731.5461513687601,136.2414391942207,0.8538812785388128,0.37848503115784904
JNE3797-KR-S,407302.57,553,736.5326763110307,98.00150979352252,0.8568994889267462,0.3553096929931577
JNE3797-KR-XL,332155.24,446,744.7426905829597,96.5650977026251,0.8755274261603375,0.3430250890529561
J0230-SKD-L,305616.95,275,1111.3343636363636,281.99872725656024,0.9158249158249159,0.29001178270345174
JNE3797-KR-XS,303616.7,407,745.9869778869778,130.85226881542724,0.8955916473317865,0.35536297895784197
SET268-KR-NP-XL,284058.96,372,763.5993548387096,104.26864882803275,0.966321243523316,0.1944835062335395
JNE3797-KR-XXXL,276375.8,374,738.9727272727274,78.65109945592083,0.9145077720207254,0.2891041086766574
JNE3797-KR-XXL,275966.88,384,718.66375,119.2698466595527,0.9088607594936708,0.28817202341768017
SET268-KR-NP-S,267030.48,349,765.1303151862463,112.44667834268235,0.9043927648578811,0.3115336137343404
J0230-SKD-XL,259032.58,222,1166.8134234234235,256.952874271474,0.91701244813278,0.30509731345544766
SET268-KR-NP-L,258716.0,347,745.5792507204611,146.6632193668334,0.9613259668508287,0.2069335778447865
SET183-KR-DH-M,250171.98,334,749.0179041916167,43.868401446191854,0.8425655976676385,0.3647419270058529
J0341-DR-M,235151.42,285,825.0927017543859,143.46186180663813,0.9084745762711864,0.3222413721148417
J0230-SKD-XS,221741.86,198,1119.9083838383838,130.71346424309397,0.8640350877192983,0.34350543102297965
J0341-DR-L,217865.04,270,806.9075555555556,177.06913265440673,0.8801369863013698,0.33575475074514
J0341-DR-S,214934.45,260,826.6709615384615,175.735096367262,0.8776978417266187,0.3495315411554057
SET278-KR-NP-M,201821.14,140,1441.5795714285716,180.18583499317896,0.92,0.27220205680990656
